Ministry,Revenue,Capital,Total,Year
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,3509.95,383.5,3893.45,2001-02
MINISTRY OF CHEMICALS AND FERTILISERS,14261.77,433.19,14694.96,2001-02
MINISTRY OF CIVIL AVIATION,219.33,58.6,277.93,2001-02
MINISTRY OF COAL AND MINES,439.43,365.07,804.5,2001-02
MINISTRY OF COMMERCE AND INDUSTRY,1617.24,100.62,1717.86,2001-02
MINISTRY OF COMMUNICATIONS,1701.73,96.37,1798.1,2001-02
MINISTRY OF DEFENCE,53147.73,19996.95,73144.68,2001-02
DEPARTMENT OF DISINVESTMENT,4.04,0,4.04,2001-02
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",851.8,59.2,911,2001-02
MINISTRY OF EXTERNAL AFFAIRS,2535.73,347.66,2883.39,2001-02
MINISTRY OF FINANCE,153584.04,163885.22,178593.62,2001-02
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",13994.4,14020.12,14038.77,2001-02
MINISTRY OF HEALTH AND FAMILY WELFARE,6504.31,1243.8,6752.09,2001-02
MINISTRY OF HOME AFFAIRS,10493.89,11993.42,12443.28,2001-02
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,10128.01,2559.85,10128.43,2001-02
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,177.32,590.5,669.71,2001-02
MINISTRY OF INFORMATION AND BROADCASTING,1290.19,1313.81,1472,2001-02
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,346.6,132.8,452.2,2001-02
MINISTRY OF LABOUR AND EMPLOYMENT,1019.82,6.06,1025.88,2001-02
MINISTRY OF LAW AND JUSTICE,515.57,5.8,521.37,2001-02
MINISTRY OF COAL AND MINES,417.33,151.13,568.46,2001-02
MINISTRY OF NEW AND RENEWABLE ENERGY,420.12,167.45,587.57,2001-02
MINISTRY OF PARLIAMENTARY AFFAIRS,4.64,0,4.64,2001-02
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",213.02,11.59,224.61,2001-02
MINISTRY OF PETROLEUM AND NATURAL GAS,7.21,0,7.21,2001-02
MINISTRY OF PLANNING,91.52,15,106.52,2001-02
MINISTRY OF POWER,571.71,2770.09,3341.8,2001-02
MINISTRY OF RURAL DEVELOPMENT,12186.83,100,12286.83,2001-02
MINISTRY OF SCIENCE AND TECHNOLOGY,1926.55,47.23,1973.78,2001-02
MINISTRY OF SMALL SCALE INDUSTRIES AND AGRO AND RURAL INDUSTRIES,917.21,23.13,940.34,2001-02
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1817.07,66.59,1883.66,2001-02
MINISTRY OF STEEL,72.41,16,88.41,2001-02
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,4621.04,3149.54,7770.58,2001-02
MINISTRY OF SHIPPING,549.2,290.65,839.85,2001-02
MINISTRY OF TEXTILES,799.35,510.95,1310.3,2001-02
MINISTRY OF TOURISM AND CULTURE,566.05,45.89,611.94,2001-02
MINISTRY OF TRIBAL AFFAIRS,1014.66,30,1044.66,2001-02
MINISTRY OF HOUSING AND URBAN AFFAIRS,1373.41,911.21,2284.62,2001-02
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",678.63,49.74,728.37,2001-02
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1305.09,100.17,1405.26,2001-02
MINISTRY OF YOUTH AFFAIRS AND SPORTS,313.17,1.83,315,2001-02
DEPARTMENT OF ATOMIC ENERGY,799.97,1979.42,2779.39,2001-02
DEPARTMENT OF OCEAN DEVELOPMENT,166.4,2.4,168.8,2001-02
DEPARTMENT OF SPACE,1608.46,421.54,2030,2001-02
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",250.83,0,250.83,2001-02
UNION TERRITORIES (WITHOUT LEGISLATURE),1531.5,370.34,1901.84,2001-02
MINISTRY OF RAILWAYS,0,3540,3540,2001-02
GRAND TOTAL,310566.28,64656.25,375222.53,2001-02
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,50903.05,122.95,51026,2017-18
DEPARTMENT OF ATOMIC ENERGY,7264.02,5197.18,12461.2,2017-18
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY (AYUSH)",1425.35,3.3,1428.65,2017-18
MINISTRY OF CHEMICALS AND FERTILISERS,70553.74,24.71,70578.45,2017-18
MINISTRY OF CIVIL AVIATION,781.3,1920.7,2702,2017-18
MINISTRY OF COAL AND MINES,745.1,...,745.1,2017-18
MINISTRY OF COMMERCE AND INDUSTRY,7913.8,160.9,8074.7,2017-18
MINISTRY OF COMMUNICATIONS,32356.47,3881,36237.47,2017-18
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",154162.29,69.4,154231.69,2017-18
MINISTRY OF CORPORATE AFFAIRS,418.54,29.5,448.04,2017-18
MINISTRY OF TOURISM AND CULTURE,2661.79,76.68,2738.47,2017-18
MINISTRY OF DEFENCE,268274.42,91579.7,359854.12,2017-18
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2084.45,598,2682.45,2017-18
MINISTRY OF DRINKING WATER AND SANITATION,20010.79,...,20010.79,2017-18
MINISTRY OF EARTH SCIENCES,1604.48,115,1719.48,2017-18
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,3690,349,4039,2017-18
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",2635.39,40.03,2675.42,2017-18
MINISTRY OF EXTERNAL AFFAIRS,12648.29,2150.26,14798.55,2017-18
MINISTRY OF FINANCE,699102.99,41066,740168.99,2017-18
MINISTRY OF FOOD PROCESSING INDUSTRIES,800,...,800,2017-18
MINISTRY OF HEALTH AND FAMILY WELFARE,45343.7,3508.81,48852.51,2017-18
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,1004.37,1615.01,2619.38,2017-18
MINISTRY OF HOME AFFAIRS,83945.43,13241.74,97187.17,2017-18
MINISTRY OF HOUSING AND URBAN AFFAIRS,6406,...,6406,2017-18
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,79435.95,250,79685.95,2017-18
MINISTRY OF INFORMATION AND BROADCASTING,4379.9,29.1,4409,2017-18
MINISTRY OF LABOUR AND EMPLOYMENT,7165.53,22.85,7188.38,2017-18
MINISTRY OF LAW AND JUSTICE,3432.39,1104.27,4536.66,2017-18
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",6471.36,10.6,6481.96,2017-18
MINISTRY OF COAL AND MINES,1054.65,158.84,1213.49,2017-18
MINISTRY OF MINORITY AFFAIRS,4025.48,170,4195.48,2017-18
MINISTRY OF NEW AND RENEWABLE ENERGY,5432.84,40,5472.84,2017-18
MINISTRY OF PANCHAYATI RAJ,790.79,...,790.79,2017-18
MINISTRY OF PARLIAMENTARY AFFAIRS,17.88,...,17.88,2017-18
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1298.77,151.91,1450.68,2017-18
MINISTRY OF PETROLEUM AND NATURAL GAS,25310.37,3847.2,29157.57,2017-18
MINISTRY OF PLANNING,252.09,0.43,252.52,2017-18
MINISTRY OF POWER,10295.46,3585.68,13881.14,2017-18
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",1352.15,...,1352.15,2017-18
MINISTRY OF RAILWAYS,...,55000,55000,2017-18
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,10723.17,54176.83,64900,2017-18
MINISTRY OF RURAL DEVELOPMENT,107752.99,5.25,107758.24,2017-18
MINISTRY OF SCIENCE AND TECHNOLOGY,11463.04,22.34,11485.38,2017-18
MINISTRY OF SHIPPING,1388.84,384.16,1773,2017-18
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENUERSHIP,2766.11,250.03,3016.14,2017-18
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,7412.04,350.96,7763,2017-18
DEPARTMENT OF SPACE,4938.33,4155.38,9093.71,2017-18
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4767.49,28.25,4795.74,2017-18
MINISTRY OF STEEL,44.14,...,44.14,2017-18
MINISTRY OF TEXTILES,6190.98,35.52,6226.5,2017-18
MINISTRY OF TOURISM AND CULTURE,1839.69,1.08,1840.77,2017-18
MINISTRY OF TRIBAL AFFAIRS,5269.32,60,5329.32,2017-18
MINISTRY OF HOUSING AND URBAN AFFAIRS,14879.48,19332.36,34211.84,2017-18
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",6102.51,784.49,6887,2017-18
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,22056.02,38.65,22094.67,2017-18
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1888.46,54.75,1943.21,2017-18
GRAND TOTAL,1836933.98,309800.8,2146734.78,2017-18
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,57442.41,157.59,57600,2018-19
DEPARTMENT OF ATOMIC ENERGY,7834.38,6137.03,13971.41,2018-19
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY (AYUSH)",1602.67,23.7,1626.37,2018-19
MINISTRY OF CHEMICALS AND FERTILISERS,70586.47,0.1,70586.57,2018-19
MINISTRY OF CIVIL AVIATION,5881.86,721,6602.86,2018-19
MINISTRY OF COAL AND MINES,770.91,...,770.91,2018-19
MINISTRY OF COMMERCE AND INDUSTRY,10172.26,1219.67,11391.93,2018-19
MINISTRY OF COMMUNICATIONS,33791.19,5760.27,39551.46,2018-19
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",175471.58,472.69,175944.27,2018-19
MINISTRY OF CORPORATE AFFAIRS,537.65,26.5,564.15,2018-19
MINISTRY OF TOURISM AND CULTURE,2764.28,79.04,2843.32,2018-19
MINISTRY OF DEFENCE,304800.85,99563.86,404364.71,2018-19
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2326,674,3000,2018-19
MINISTRY OF DRINKING WATER AND SANITATION,22356.6,...,22356.6,2018-19
MINISTRY OF EARTH SCIENCES,1700,100,1800,2018-19
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,5675,325,6000,2018-19
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",2586.67,88.75,2675.42,2018-19
MINISTRY OF EXTERNAL AFFAIRS,13374.5,1636.5,15011,2018-19
MINISTRY OF FINANCE,874818.17,19888.65,894706.82,2018-19
MINISTRY OF FOOD PROCESSING INDUSTRIES,1400,...,1400,2018-19
MINISTRY OF HEALTH AND FAMILY WELFARE,51879.6,2720.4,54600,2018-19
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,759.68,386.49,1146.17,2018-19
MINISTRY OF HOME AFFAIRS,94358.06,13214.73,107572.79,2018-19
MINISTRY OF HOUSING AND URBAN AFFAIRS,25349.73,16415.4,41765.13,2018-19
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,82258.29,2752,85010.29,2018-19
MINISTRY OF INFORMATION AND BROADCASTING,4065.58,23.4,4088.98,2018-19
MINISTRY OF LABOUR AND EMPLOYMENT,7677.75,22.25,7700,2018-19
MINISTRY OF LAW AND JUSTICE,3086.05,1819.3,4905.35,2018-19
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",6540.04,12.57,6552.61,2018-19
MINISTRY OF COAL AND MINES,1499.3,170.22,1669.52,2018-19
MINISTRY OF MINORITY AFFAIRS,4534.96,165.04,4700,2018-19
MINISTRY OF NEW AND RENEWABLE ENERGY,5106.23,40.4,5146.63,2018-19
MINISTRY OF PANCHAYATI RAJ,825.17,...,825.17,2018-19
MINISTRY OF PARLIAMENTARY AFFAIRS,18.86,...,18.86,2018-19
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1475.58,84.03,1559.61,2018-19
MINISTRY OF PETROLEUM AND NATURAL GAS,27391.55,3709,31100.55,2018-19
MINISTRY OF PLANNING,338.97,0.68,339.65,2018-19
MINISTRY OF POWER,12835.47,2211.45,15046.92,2018-19
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",1526.14,...,1526.14,2018-19
