Ministry,Plan Revenue,Plan Capital,Plan Total,Non Plan Revenue,Non Plan Capital,Non Plan Total,Total,year,Revenue,Capital
MINISTRY OF STEEL,,,,,,,241.29,2019-20,241.29,...
MINISTRY OF TEXTILES,,,,,,,5831.48,2019-20,5800.57,30.91
MINISTRY OF TOURISM,,,,,,,2189.22,2019-20,2189.21,0.01
MINISTRY OF TRIBAL AFFAIRS,,,,,,,6526.96,2019-20,6446.96,80.00
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",,,,,,,8041.25,2019-20,7642.35,398.90
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,,,,,,29164.90,2019-20,29164.89,0.01
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,,,,,,2216.92,2019-20,2181.90,35.02
GRAND TOTAL,,,,,,,2784199.55,2019-20,2447907.07,336292.48
MINISTRY OF AGRICULTURE,21434.53,88.34,21522.87,2653.25,0.60,2653.85,24176.72,2011-12,,
DEPARTMENT OF ATOMIC ENERGY,1905.13,3694.87,5600.00,2955.58,796.88,3752.46,9352.46,2011-12,,
MINISTRY OF CHEMICALS AND FERTILISERS,939.05,260.95,1200.00,50078.79,1.21,50080.00,51280.00,2011-12,,
MINISTRY OF CIVIL AVIATION,307.00,1393.00,1700.00,693.88,...,693.88,2393.88,2011-12,,
MINISTRY OF COAL,420.00,...,420.00,48.72,...,48.72,468.72,2011-12,,
MINISTRY OF COMMERCE AND INDUSTRY,2361.02,938.98,3300.00,4700.58,...,4700.58,8000.58,2011-12,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,5504.52,1713.48,7218.00,9322.06,10.00,9332.06,16550.06,2011-12,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",244.41,100.59,345.00,61840.37,1.20,61841.57,62186.57,2011-12,,
MINISTRY OF CORPORATE AFFAIRS,3.00,25.00,28.00,196.94,14.00,210.94,238.94,2011-12,,
MINISTRY OF CULTURE,745.00,40.00,785.00,553.00,...,553.00,1338.00,2011-12,,
MINISTRY OF DEFENCE,...,...,...,131691.49,70880.81,202572.30,202572.30,2011-12,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1614.00,127.00,1741.00,17.58,4.00,21.58,1762.58,2011-12,,
MINISTRY OF EARTH SCIENCES,936.90,283.10,1220.00,345.90,1.10,347.00,1567.00,2011-12,,
MINISTRY OF ENVIRONMENT AND FORESTS,2234.50,65.50,2300.00,176.79,15.18,191.97,2491.97,2011-12,,
MINISTRY OF EXTERNAL AFFAIRS,359.00,441.00,800.00,5956.00,350.00,6306.00,7106.00,2011-12,,
MINISTRY OF FINANCE,73335.24,17301.37,90636.61,369421.86,4708.66,374130.52,464767.13,2011-12,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,504.49,95.51,600.00,10.09,...,10.09,610.09,2011-12,,
MINISTRY OF HEALTH AND FAMILY WELFARE,24745.92,2014.08,26760.00,3696.00,...,3696.00,30456.00,2011-12,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,370.10,39.90,410.00,64.34,400.00,464.34,874.34,2011-12,,
MINISTRY OF HOME AFFAIRS,5956.24,5606.05,11562.29,34182.47,3175.38,37357.85,48920.14,2011-12,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,1100.00,...,1100.00,7.60,...,7.60,1107.60,2011-12,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,,52057.00,...,,52057.00,11306.00,...,2011-12,,
MINISTRY OF INFORMATION AND BROADCASTING,,273.46,587.54,,861.00,1782.64,...,2011-12,,
MINISTRY OF LABOUR AND EMPLOYMENT,,1244.32,3.93,,1248.25,1860.04,0.96,2011-12,,
MINISTRY OF LAW AND JUSTICE,,1000.00,...,,1000.00,538.43,15.02,2011-12,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",,2534.00,166.00,,2700.00,300.49,0.80,2011-12,,
MINISTRY OF MINES,,174.79,39.21,,214.00,440.28,...,2011-12,,
MINISTRY OF MINORITY AFFAIRS,,2735.00,115.00,,2850.00,16.00,...,2011-12,,
MINISTRY OF NEW AND RENEWABLE ENERGY,,1132.50,65.50,,1198.00,14.38,...,2011-12,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,,...,...,,...,71.80,9.20,2011-12,,
MINISTRY OF PANCHAYATI RAJ,,5250.00,...,,5250.00,0.65,...,2011-12,,
MINISTRY OF PARLIAMENTARY AFFAIRS,,...,...,,...,10.48,...,2011-12,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",,190.87,69.13,,260.00,501.29,5.49,2011-12,,
MINISTRY OF PETROLEUM AND NATURAL GAS,,40.00,...,,40.00,23676.20,...,2011-12,,
MINISTRY OF PLANNING,,868.39,731.61,,1600.00,76.00,...,2011-12,,
MINISTRY OF POWER,,6779.84,2862.16,,9642.00,-135.01,...,2011-12,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",,...,...,,...,801.59,...,2011-12,,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,,,14547.28,7700.47,,22247.75,,2011-12,,
MINISTRY OF RURAL DEVELOPMENT,,,87800.00,...,,87800.00,,2011-12,,
MINISTRY OF SCIENCE AND TECHNOLOGY,,,5627.45,51.55,,5679.00,,2011-12,,
MINISTRY OF SHIPPING,,,152.54,590.46,,743.00,,2011-12,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,,,5105.00,270.00,,5375.00,,2011-12,,
DEPARTMENT OF SPACE,,,2751.47,2948.53,,5700.00,,2011-12,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,,,2158.43,21.57,,2180.00,,2011-12,,
MINISTRY OF STEEL,,,39.00,1.00,,40.00,,2011-12,,
MINISTRY OF TEXTILES,,,4969.30,30.70,,5000.00,,2011-12,,
MINISTRY OF TOURISM,,,1095.99,4.01,,1100.00,,2011-12,,
MINISTRY OF TRIBAL AFFAIRS,,,3653.01,70.00,,3723.01,,2011-12,,
UNION TERRITORIES (WITHOUT LEGISLATURE),,,1498.39,1641.83,,3140.22,,2011-12,,
MINISTRY OF URBAN DEVELOPMENT,,,635.13,5644.62,,6279.75,,2011-12,,
MINISTRY OF WATER RESOURCES,,95.80,720.00,500.93,1.80,502.73,1222.73,2011-12,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,...,12650.00,83.00,...,83.00,12733.00,2011-12,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,4.00,1000.00,120.98,0.02,121.00,1121.00,2011-12,,
MINISTRY OF RAILWAYS,,20000.00,20000.00,...,...,...,20000.00,2011-12,,
GRAND TOTAL,,77943.34,441546.75,733558.83,82623.25,816182.08,1257728.83,2011-12,,
MINISTRY OF AGRICULTURE,25252.35,85.65,25338.00,2592.99,0.60,2593.59,27931.59,2012-13,,
DEPARTMENT OF ATOMIC ENERGY,1875.63,3724.37,5600.00,3009.20,622.80,3632.00,9232.00,2012-13,,
MINISTRY OF CHEMICALS AND FERTILISERS,1897.00,304.00,2201.00,61087.50,1.21,61088.71,63289.71,2012-13,,
MINISTRY OF CIVIL AVIATION,344.18,4155.82,4500.00,738.80,...,738.80,5238.80,2012-13,,
MINISTRY OF COAL,450.00,...,450.00,48.35,...,48.35,498.35,2012-13,,
MINISTRY OF COMMERCE AND INDUSTRY,2420.22,1044.78,3465.00,3125.25,...,3125.25,6590.25,2012-13,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,6314.10,2285.90,8600.00,11072.16,10.00,11082.16,19682.16,2012-13,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",295.50,71.50,367.00,76502.44,0.01,76502.45,76869.45,2012-13,,
MINISTRY OF CORPORATE AFFAIRS,12.00,20.00,32.00,201.50,12.00,213.50,245.50,2012-13,,
MINISTRY OF CULTURE,826.00,38.00,864.00,583.00,...,583.00,1447.00,2012-13,,
MINISTRY OF DEFENCE,...,...,...,156752.35,81453.18,238205.53,238205.53,2012-13,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1730.00,175.00,1905.00,20.33,4.00,24.33,1929.33,2012-13,,
MINISTRY OF EARTH SCIENCES,1073.50,207.50,1281.00,386.66,0.34,387.00,1668.00,2012-13,,
MINISTRY OF ENVIRONMENT AND FORESTS,2375.37,54.63,2430.00,183.91,15.50,199.41,2629.41,2012-13,,
MINISTRY OF EXTERNAL AFFAIRS,362.00,1138.00,1500.00,7261.97,900.00,8161.97,9661.97,2012-13,,
MINISTRY OF FINANCE,92349.45,27325.55,119675.00,419864.41,15515.59,435380.00,555055.00,2012-13,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,660.00,...,660.00,10.54,...,10.54,670.54,2012-13,,
MINISTRY OF HEALTH AND FAMILY WELFARE,28153.89,2323.11,30477.00,4011.00,...,4011.00,34488.00,2012-13,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,509.49,56.51,566.00,65.60,400.00,465.60,1031.60,2012-13,,
MINISTRY OF HOME AFFAIRS,5291.40,6849.49,12140.89,39408.02,2900.08,42308.10,54448.99,2012-13,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,1155.00,...,,1155.00,8.00,...,8.00,2012-13,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,61407.00,...,,61407.00,12649.00,...,12649.00,2012-13,,
MINISTRY OF INFORMATION AND BROADCASTING,361.00,544.00,,905.00,1832.32,...,1832.32,2012-13,,
MINISTRY OF LABOUR AND EMPLOYMENT,2397.78,6.10,,2403.88,1928.83,0.97,1929.80,2012-13,,
MINISTRY OF LAW AND JUSTICE,1050.00,...,,1050.00,649.52,20.02,669.54,2012-13,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2752.00,83.00,,2835.00,319.86,0.80,320.66,2012-13,,
MINISTRY OF MINES,162.42,69.58,,232.00,466.44,...,466.44,2012-13,,
MINISTRY OF MINORITY AFFAIRS,3035.00,100.00,,3135.00,19.70,...,19.70,2012-13,,
MINISTRY OF NEW AND RENEWABLE ENERGY,1291.00,92.00,,1383.00,14.79,...,14.79,2012-13,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,...,...,,...,94.77,20.00,114.77,2012-13,,
MINISTRY OF PANCHAYATI RAJ,5350.00,...,,5350.00,0.74,...,0.74,2012-13,,
MINISTRY OF PARLIAMENTARY AFFAIRS,...,...,,...,11.72,...,11.72,2012-13,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",169.40,109.60,,279.00,607.60,8.07,615.67,2012-13,,
MINISTRY OF PETROLEUM AND NATURAL GAS,42.00,1.00,,43.00,43716.85,...,43716.85,2012-13,,
MINISTRY OF PLANNING,1584.20,515.80,,2100.00,77.03,...,77.03,2012-13,,
MINISTRY OF POWER,5929.63,3712.37,,9642.00,-122.89,...,-122.89,2012-13,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",...,...,,...,,902.98,...,2012-13,,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,16577.11,8782.80,,25359.91,,3296.00,2142.21,2012-13,,
MINISTRY OF RURAL DEVELOPMENT,76376.00,...,,76376.00,,54.02,...,2012-13,,
MINISTRY OF DRINKING WATER AND SANITATION,14000.00,...,,14000.00,,5.24,...,2012-13,,
MINISTRY OF SCIENCE AND TECHNOLOGY,5927.33,47.67,,5975.00,,1881.41,1.20,2012-13,,
MINISTRY OF SHIPPING,266.05,545.95,,812.00,,947.36,-79.87,2012-13,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,5615.00,300.00,,5915.00,,93.30,...,2012-13,,
DEPARTMENT OF SPACE,2476.43,3138.57,,5615.00,,1100.00,...,2012-13,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4568.80,17.20,,4586.00,,357.54,...,2012-13,,
MINISTRY OF STEEL,46.00,...,,46.00,,69.29,...,2012-13,,
MINISTRY OF TEXTILES,6977.73,22.27,,7000.00,,797.90,38.51,2012-13,,
MINISTRY OF TOURISM,1207.00,3.00,,1210.00,,72.98,...,2012-13,,
MINISTRY OF TRIBAL AFFAIRS,4020.00,70.00,,4090.00,,18.00,...,2012-13,,
UNION TERRITORIES (WITHOUT LEGISLATURE),2081.11,1934.09,,4015.20,,3874.51,-167.59,2012-13,,
MINISTRY OF URBAN DEVELOPMENT,,583.43,,6428.69,7012.12,2190.86,483.01,2012-13,,
MINISTRY OF WATER RESOURCES,,1373.20,,126.80,1500.00,539.20,1.80,2012-13,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,18500.00,,...,18500.00,84.00,...,2012-13,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,1039.70,,1.30,1041.00,111.00,...,2012-13,,
MINISTRY OF RAILWAYS,,...,,24000.00,24000.00,...,...,2012-13,,
GRAND TOTAL,,420513.40,,100511.60,521025.00,865595.85,104304.44,2012-13,,
MINISTRY OF AGRICULTURE,28130.48,67.52,28198.00,2863.09,1.85,2864.94,31062.94,2014-15,,
DEPARTMENT OF ATOMIC ENERGY,1779.00,4101.00,5880.00,3710.84,855.75,4566.59,10446.59,2014-15,,
MINISTRY OF CHEMICALS AND FERTILISERS,360.83,153.17,514.00,73104.46,0.09,73104.55,73618.55,2014-15,,
MINISTRY OF CIVIL AVIATION,179.90,6540.10,6720.00,657.98,...,657.98,7377.98,2014-15,,
MINISTRY OF COAL,550.00,...,550.00,50.00,...,50.00,600.00,2014-15,,
MINISTRY OF COMMERCE AND INDUSTRY,3515.75,410.25,3926.00,3873.02,...,3873.02,7799.02,2014-15,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,7704.70,4410.30,12115.00,13953.92,101.00,14054.92,26169.92,2014-15,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",344.45,205.55,550.00,115402.63,...,115402.63,115952.63,2014-15,,
MINISTRY OF CORPORATE AFFAIRS,22.76,1.24,24.00,208.75,22.50,231.25,255.25,2014-15,,
MINISTRY OF CULTURE,1767.00,68.00,1835.00,676.00,...,676.00,2511.00,2014-15,,
MINISTRY OF DEFENCE,...,...,...,188994.20,96208.67,285202.87,285202.87,2014-15,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2129.00,177.00,2306.00,22.78,4.00,26.78,2332.78,2014-15,,
MINISTRY OF DRINKING WATER AND SANITATION,15260.00,...,15260.00,6.85,...,6.85,15266.85,2014-15,,
MINISTRY OF EARTH SCIENCES,1094.00,187.00,1281.00,417.94,0.06,418.00,1699.00,2014-15,,
MINISTRY OF ENVIRONMENT AND FORESTS,1944.34,98.66,2043.00,205.55,7.45,213.00,2256.00,2014-15,,
MINISTRY OF EXTERNAL AFFAIRS,2091.99,3008.01,5100.00,9172.39,458.00,9630.39,14730.39,2014-15,,
MINISTRY OF FINANCE,69274.00,27093.00,96367.00,542033.08,2004.10,544037.18,640404.18,2014-15,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,770.00,...,770.00,15.86,...,15.86,785.86,2014-15,,
MINISTRY OF HEALTH AND FAMILY WELFARE,32157.41,2067.59,34225.00,5012.82,...,5012.82,39237.82,2014-15,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,637.94,171.06,809.00,53.44,400.00,453.44,1262.44,2014-15,,
MINISTRY OF HOME AFFAIRS,4994.42,7683.58,12678.00,50519.69,2547.59,53067.28,65745.28,2014-15,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,,6000.00,...,,6000.00,8.62,...,2014-15,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,,68728.00,...,,68728.00,14043.10,...,2014-15,,
MINISTRY OF INFORMATION AND BROADCASTING,,976.15,28.85,,1005.00,2311.00,...,2014-15,,
MINISTRY OF LABOUR AND EMPLOYMENT,,2438.32,10.28,,2448.60,3158.76,0.97,2014-15,,
MINISTRY OF LAW AND JUSTICE,,1103.00,...,,1103.00,1092.24,55.37,2014-15,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",,3319.00,8.00,,3327.00,374.48,0.80,2014-15,,
MINISTRY OF MINES,,473.78,93.22,,567.00,537.26,...,2014-15,,
MINISTRY OF MINORITY AFFAIRS,,3591.00,120.00,,3711.00,23.01,...,2014-15,,
MINISTRY OF NEW AND RENEWABLE ENERGY,,846.00,95.00,,941.00,15.39,...,2014-15,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,,20.00,...,,20.00,113.98,15.00,2014-15,,
MINISTRY OF PANCHAYATI RAJ,,7000.00,...,,7000.00,0.70,...,2014-15,,
MINISTRY OF PARLIAMENTARY AFFAIRS,,...,...,,...,14.35,...,2014-15,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",,159.15,119.85,,279.00,805.69,6.07,2014-15,,
MINISTRY OF PETROLEUM AND NATURAL GAS,,42.00,1.00,,43.00,63500.00,...,2014-15,,
MINISTRY OF PLANNING,,1736.50,778.50,,2515.00,91.86,...,2014-15,,
MINISTRY OF POWER,,7570.50,2071.50,,9642.00,-98.10,...,2014-15,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",...,...,,...,,1094.36,...,2014-15,,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,13094.63,15786.37,,28881.00,,3522.11,1942.09,2014-15,,
MINISTRY OF RURAL DEVELOPMENT,83793.00,...,,83793.00,,59.46,...,2014-15,,
MINISTRY OF SCIENCE AND TECHNOLOGY,6673.82,51.18,,6725.00,,2037.46,5.90,2014-15,,
MINISTRY OF SHIPPING,400.62,498.38,,899.00,,618.04,-108.30,2014-15,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,6231.00,499.00,,6730.00,,115.63,...,2014-15,,
DEPARTMENT OF SPACE,2346.06,3653.94,,6000.00,,1238.00,...,2014-15,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4459.90,18.10,,4478.00,,445.88,...,2014-15,,
MINISTRY OF STEEL,20.00,...,,20.00,,67.74,...,2014-15,,
MINISTRY OF TEXTILES,4821.00,10.00,,4831.00,,726.70,139.73,2014-15,,
MINISTRY OF TOURISM,1880.50,1.50,,1882.00,,84.71,...,2014-15,,
MINISTRY OF TRIBAL AFFAIRS,4409.00,70.00,,4479.00,,18.96,...,2014-15,,
UNION TERRITORIES (WITHOUT LEGISLATURE),3016.49,1720.51,,4737.00,,4467.79,-65.78,2014-15,,
MINISTRY OF URBAN DEVELOPMENT,,9088.57,16984.40,2346.45,678.61,3025.06,20009.46,2014-15,,
MINISTRY OF WATER RESOURCES,,229.53,13237.00,597.84,1.80,599.64,13836.64,2014-15,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,...,21100.00,93.88,...,93.88,21193.88,2014-15,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,0.90,1643.00,126.00,...,126.00,1769.00,2014-15,,
MINISTRY OF RAILWAYS,,30100.00,30100.00,...,...,...,30100.00,2014-15,,
GRAND TOTAL,,121497.21,575000.00,1114608.64,105283.32,1219891.96,1794891.96,2014-15,,
MINISTRY OF AGRICULTURE AND FARMERS WELFARE,25644.70,55.30,25700.00,18773.58,11.62,18785.20,44485.20,2016-17,,
DEPARTMENT OF ATOMIC ENERGY,1349.50,4850.50,6200.00,4444.53,1037.95,5482.48,11682.48,2016-17,,
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA",1047.00,3.00,1050.00,276.20,...,276.20,1326.20,2016-17,,
MINISTRY OF CHEMICALS AND FERTILISERS,288.94,41.06,330.00,70122.70,0.11,70122.81,70452.81,2016-17,,
MINISTRY OF CIVIL AVIATION,219.80,1780.20,2000.00,590.68,...,590.68,2590.68,2016-17,,
MINISTRY OF COAL,300.00,...,300.00,61.00,...,61.00,361.00,2016-17,,
MINISTRY OF COMMERCE AND INDUSTRY,4855.39,109.61,4965.00,2424.35,...,2424.35,7389.35,2016-17,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,6170.93,3494.07,9665.00,21093.22,10.00,21103.22,30768.22,2016-17,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1132.70,67.30,1200.00,140190.01,1.60,140191.61,141391.61,2016-17,,
MINISTRY OF CORPORATE AFFAIRS,18.00,2.00,20.00,296.43,28.00,324.43,344.43,2016-17,,
MINISTRY OF CULTURE,1685.00,70.00,1755.00,745.00,...,745.00,2500.00,2016-17,,
MINISTRY OF DEFENCE,70.00,380.00,450.00,250642.35,89829.63,340471.98,340921.98,2016-17,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1925.00,475.00,2400.00,26.01,4.00,30.01,2430.01,2016-17,,
MINISTRY OF DRINKING WATER AND SANITATION,,14000.00,...,14000.00,9.70,...,9.70,2016-17,,
MINISTRY OF EARTH SCIENCES,,1025.00,175.00,1200.00,472.45,...,472.45,2016-17,,
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",,1944.75,55.25,2000.00,250.34,...,250.34,2016-17,,
MINISTRY OF EXTERNAL AFFAIRS,,2044.50,2675.50,4720.00,9635.16,307.50,9942.66,2016-17,,
MINISTRY OF FINANCE,,19745.00,40590.00,60335.00,658698.72,4427.12,663125.84,2016-17,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,,600.00,...,600.00,36.02,...,36.02,2016-17,,
MINISTRY OF HEALTH AND FAMILY WELFARE,,30292.14,1757.86,32050.00,6156.35,...,6156.35,2016-17,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,,289.92,20.08,310.00,123.37,887.05,1010.42,2016-17,,
MINISTRY OF HOME AFFAIRS,,3946.50,6028.50,9975.00,64093.21,3314.91,67408.12,2016-17,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,,5400.00,...,5400.00,11.00,...,11.00,2016-17,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,,56500.00,...,56500.00,15894.00,...,15894.00,2016-17,,
MINISTRY OF INFORMATION AND BROADCASTING,,752.43,47.57,,800.00,3283.63,...,2016-17,,
MINISTRY OF LABOUR AND EMPLOYMENT,,1538.00,12.00,,1550.00,4683.59,9.01,2016-17,,
MINISTRY OF LAW AND JUSTICE,,900.00,...,,900.00,4383.39,128.01,2016-17,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",,2990.00,10.00,,3000.00,464.22,0.55,2016-17,,
MINISTRY OF MINES,,411.61,158.39,,570.00,643.49,...,2016-17,,
MINISTRY OF MINORITY AFFAIRS,,3660.00,140.00,,3800.00,27.25,...,2016-17,,
MINISTRY OF NEW AND RENEWABLE ENERGY,,5000.00,...,,5000.00,35.79,...,2016-17,,
MINISTRY OF PANCHAYATI RAJ,,750.00,...,,750.00,18.33,...,2016-17,,
MINISTRY OF PARLIAMENTARY AFFAIRS,,...,...,,...,17.30,...,2016-17,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",,164.65,85.35,,250.00,1193.40,34.28,2016-17,,
MINISTRY OF PETROLEUM AND NATURAL GAS,,2048.00,2.00,,2050.00,27110.62,...,2016-17,,
MINISTRY OF PLANNING,,199.50,0.50,,200.00,93.14,...,2016-17,,
MINISTRY OF POWER,,8710.78,3489.22,,12200.00,52.61,0.10,2016-17,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",,...,...,,...,1275.70,...,2016-17,,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,,37547.00,17453.00,,55000.00,2976.00,...,2016-17,,
MINISTRY OF RURAL DEVELOPMENT,,87700.00,...,87700.00,65.16,...,65.16,2016-17,,
MINISTRY OF SCIENCE AND TECHNOLOGY,,8079.33,20.67,8100.00,2252.65,0.35,2253.00,2016-17,,
MINISTRY OF SHIPPING,,650.50,349.50,1000.00,578.65,-47.65,531.00,2016-17,,
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,,1666.90,33.10,1700.00,103.65,0.63,104.28,2016-17,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,,6831.00,369.00,7200.00,149.51,...,149.51,2016-17,,
DEPARTMENT OF SPACE,,2646.84,3353.16,6000.00,1509.14,...,1509.14,2016-17,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,,4172.00,28.00,4200.00,552.83,...,552.83,2016-17,,
MINISTRY OF STEEL,,15.00,...,15.00,70.62,...,70.62,2016-17,,
MINISTRY OF TEXTILES,,3330.00,20.00,3350.00,1244.30,0.52,1244.82,2016-17,,
MINISTRY OF TOURISM,,1498.95,1.05,1500.00,90.32,...,90.32,2016-17,,
MINISTRY OF TRIBAL AFFAIRS,,4730.00,70.00,4800.00,26.50,...,26.50,2016-17,,
UNION TERRITORIES (WITHOUT LEGISLATURE),,3150.94,1799.06,4950.00,5676.71,-4.05,5672.66,2016-17,,
MINISTRY OF URBAN DEVELOPMENT,,10250.56,10849.44,21100.00,2770.47,652.53,3423.00,2016-17,,
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA",,5119.34,380.66,5500.00,693.26,7.95,701.21,2016-17,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,30.00,17300.00,108.12,...,108.12,17408.12,2016-17,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,50.00,1400.00,192.00,...,192.00,1592.00,2016-17,,
MINISTRY OF RAILWAYS,,45000.00,45000.00,...,...,...,45000.00,2016-17,,
GRAND TOTAL,,146381.90,550010.00,1327408.73,100641.72,1428050.45,1978060.45,2016-17,,
MINISTRY OF AGRICULTURE,14056.62,110.45,14167.07,2195.18,0.65,2195.83,16362.90,2009-10,,
DEPARTMENT OF ATOMIC ENERGY,1002.00,3148.00,4150.00,3081.91,541.09,3623.00,7773.00,2009-10,,
MINISTRY OF CHEMICALS AND FERTILISERS,314.87,280.13,595.00,50059.25,1.23,50060.48,50655.48,2009-10,,
MINISTRY OF CIVIL AVIATION,34.05,155.95,190.00,697.00,...,697.00,887.00,2009-10,,
MINISTRY OF COAL,300.00,...,300.00,49.00,...,49.00,349.00,2009-10,,
MINISTRY OF COMMERCE AND INDUSTRY,1892.78,667.22,2560.00,2278.00,...,2278.00,4838.00,2009-10,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,2996.20,584.80,3581.00,12870.26,6.00,12876.26,16457.26,2009-10,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",254.54,49.46,304.00,53419.76,5.24,53425.00,53729.00,2009-10,,
MINISTRY OF CORPORATE AFFAIRS,3.00,30.00,33.00,186.62,10.00,196.62,229.62,2009-10,,
MINISTRY OF CULTURE,663.90,36.10,700.00,576.00,...,576.00,1276.00,2009-10,,
MINISTRY OF DEFENCE,...,...,...,110365.17,56297.83,166663.00,166663.00,2009-10,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1315.50,139.50,1455.00,16.47,4.00,20.47,1475.47,2009-10,,
MINISTRY OF EARTH SCIENCES,612.12,287.88,900.00,307.50,2.50,310.00,1210.00,2009-10,,
MINISTRY OF ENVIRONMENT AND FORESTS,1858.95,21.05,1880.00,233.55,15.45,249.00,2129.00,2009-10,,
MINISTRY OF EXTERNAL AFFAIRS,629.00,...,629.00,5139.00,525.00,5664.00,6293.00,2009-10,,
MINISTRY OF FINANCE,59525.19,7323.40,66848.59,312740.46,10028.08,322768.54,389617.13,2009-10,,
